user_name,rating_star,date,comment,comment_likes
fran hoepfner,★★★½,28 Jun 2025,"frankly stunned by how much this worked for me as both a Top Gun: Maverick and this era of Brad Pitt hater, to say nothing of my lack of interest in Formula 1. BUT — this is an almost classical sports movie, so familiar and comforting in its rhythms and tropes and platitudinal dialogue, and just sleek enough to briefly trick me into believing I’m seeing something new. laced with boomer anti-phone rhetoric which is especially funny in a movie… more",516 likes
Mikedimo,★★★★,27 Jun 2025,Sonny Hayes tattoo tour when,504 likes
SuperBardiBros,★★★★,28 Jun 2025,"So much of F1 feels familiar to Top Gun: Maverick but is that a bad thing? How often do we get movies with this high of a production value that’s not a sequel or a superhero adventure? This is the first film to match Maverick’s template and adrenaline rush, so yes, give me more of the grizzled veteran mentoring the young hothead — I will HAPPILY take your Top Gun copycat, even if it’s race cars instead of fighter jets, even if Brad Pitt… more",484 likes
chloé†🍸,★★★★,03 Jul 2025,"these last few days i was so torn between rewatching the vampire diaries and watching movies and well, movies kinda lost but i did go see the F1 movie in theaters and i thought it was amazing!! I know absolutely nothing about F1 i only watch it with my husband sometimes cause he a fan but even though i don't really care much about it, i still enjoyed the movie a lot. It was so intense that, yeah, u have… more",311 likes
H. Coley,★★★,28 Jun 2025,"definitely felt like there was an identity crisis here. one half of the picture is a movie scored by Hans Zimmer, very much in the bombastic and spectacle-driven vein of Maverick and reveling in the cinematic vigor of speed and sincerity. the other half is a pop-song-laden Apple commercial, lost in the sauce of its own not-very-interesting plot and product placement. because of this divide, even the more sincere Zimmer-scored sequences sometimes feel out of place when directly following nonstop… more",461 likes
andy,★★★★½,23 Jun 2025,"“Slow is smooth, smooth is fast.”
way better than i expected wow. it has more emotion than you’d expect. it’s a classic redemption and comeback story. it is also pretty funny as well. it has visuals that are visceral. you feel the stakes of the speeds these guys are driving at. i also think it does a really good job of not just giving you who will win, it really feels like all these races can go any way and… more",441 likes
Maddog,★★★★★,25 Jun 2025,"EASY WIN, EASILY ONE OF THE BEST IMAX EXPERIENCE THIS YEAR!
VROOM VROOM!",436 likes
Ella Kemp,★★★,13 Jul 2025,"I wasn’t not compelled in some of the bigger races (rain, final) but I kind of can’t shake the propaganda of it all. Also dread to think the number of rounds of brand (s) approval this would have had to go through lol. Give Kerry Condon even more screen time and less love interest!!!",291 likes
Josh Lewis,★★★,26 Jun 2025,"After the success of updating Tony Scott's vibrantly over-saturated adrenaline-junkie music video for Tom Cruise's more recent tangible, death-drive tech-porn stunt show sensibility with Top Gun Maverick to the tune of a billion and a half dollars, it only makes sense for Joseph Kosinski and Jerry Bruckheimer to do exactly what Scott/Cruise followed their original Top Gun success up with, which was functionally making the same movie again but with race cars instead of fighter jets in Days of Thunder.… more",426 likes
thefilmpope,★★★★½,26 Jun 2025,"Wow - I loved this.
I didn’t expect it to be this good. I went in with extremely little knowledge on it, and it was so fun.
The runtime, despite being nearly 3 hours long, felt like nothing. The pacing here was great, and that’s what I love about Joseph Kosinski and the way he makes a blockbuster.
This is a blockbuster done right. Made me want to get into racing. 
And man, Damson Idris did a hell of a job. Everyone was having fun.
I recommend seeing this in IMAX.",416 likes
Tino Hahn,★★½,06 Jul 2025,Autorenfilme > Autorennfilme,268 likes
"Rafael ""Mister Movie"" Jovine",★★★½,29 Jun 2025,"Action! - Stylish Kasinski and the Banger Soundtracks
RESEÑA EN ESPAÑOL
If there’s one thing both I and its director should be thankful for, it’s that it finally put Kosinski on the map. Seeing a lot of his movies, it's clear the man has a great eye for direction and a promising career that unfortunately got tamed by three films that failed to make much of an impact. Luckily, Top Gun: Maverick happened and it seems all the doors have… more",398 likes
Damo,★★★★★,28 Jun 2025,"I’m a massive F1 fan… and boy this did not disappoint. I’ve been hyped for this film for the last two years considering every race for the past two seasons the broadcast would always show the APX garage, interviews with Brad and Damson, behind the scenes etc… but man this shit was fucking phenomenal. If you liked Top Gun: Maverick… your in store fellas. Even if you don’t like F1 I highly recommend giving this a watch because it’s the… more",394 likes
HelenHant,★★★★,30 Jun 2025,"Brad Pitt gives out a style.
I'm an dilettante in Formula 1, so read that the actors actually drove modified Formula 2 cars, and the filming took place during real Grand Prix events. My compliment. But I still at every pit-stop reminded of Guido's pit-stops from Pixar's ""Cars"".",261 likes
alexgiu,★★★★★,29 Jun 2025,"All they had to do was ""turn right to go left."" Had they done that, victory in every race would've been assured.",396 likes
𝐉,★★★★½,30 Jun 2025,"A girl farted super loudly and it stunk up the room the entire 2 hour viewing and yet it was still a good film experience, thats the sign of an amazing movie.",388 likes
ValTheMovieGuy,★★★★½,26 Jun 2025,"Cars (2006) still better, good film tho",394 likes
Ralph,★★★★,25 Jun 2025,"This was essentially Top Gun: Maverick with Formula 1 cars. Big F1 fan here and loved this film. This had all the boys in it: Max Verstappen, Lando Norris, Carlos Sainz, and of course, Lewis Hamilton (he also produced it). They got Toto in there too. The experience is elevated if you know all this stuff and the cameos that show up, but the real-life figures that do have lines give authentic performances that ground the film.
Easily one of… more",374 likes
Justin LaLiberty,★★★½,01 Jul 2025,men would literally rather crash one hundred million dollar cars on purpose than go to therapy: the movie,254 likes
peskypaul,★★★★,25 Jun 2025,"❤️‍🔥84%
🔙Ford Vs Ferrari🔙 
🔜Sicario🔜 
Knew I wanted to check this out early ever since I watched that Haptic trailer Apple TV released a couple weeks back. I needed to feel whatever that was on a whole different level, so I booked in to see the Dolby Atmos showing. Wow.. the venomous sounds of the zooming of the cars is still ringing in my ears, easy to say I’ve not felt sound design like that since an IMAX showing of… more",359 likes
Jesse,★★★★,02 Jul 2025,I saw this in 4DX and now I think I’m Lewis Hamilton.,238 likes
Agastya Chhikara,★★★★½,02 Jul 2025,"Absolute F1nema!! 🙌
•Oh Man!! What an Orgasmic experience it was. Sexy AF.
•Thank you Joseph Kosinski and team for this visual spectacle.
•We need 10 films from this franchise not from Fast and Furious... ✊ Let's Go..... Vroooooooom 🏎️🔥❤️",235 likes
The Oscar Expert,★★★½,25 Jun 2025,Solid sigma racer,353 likes
Austin Burke,★★★★½,10 Jun 2025,"Cinematic Speed and Spectacular Stakes
2025 list - Click HERE
F1 delivers in every way. This high-octane racing epic is a pulse-pounding spectacle from start to finish. The outstanding sound design, electrifying score, and heartfelt story combine to make it the must-see movie of the summer. Brad Pitt and Damson Idris make for a fantastic duo, and the supporting cast brings the right energy. Rarely does a film impact the senses like this—F1® demands to be experienced on the biggest screen… more",230 likes
joe,★★★,29 Jun 2025,"the definition of a dad movie (derogatory) can confirm because my dad liked it more than me 🏎️
there’s really nothing a hans zimmer score can’t fix
cheesy underwritten dialogue & too many filler scenes. those racing sequences were very well shot. I can praise this for its technical aspects; sound design, camera work etc. it was worth experiencing on the big screen as well. the main faults were definitely brad pitt in general (I could of pictured literally anybody else in the role) & how simone ashley was cut entirely from the film. if anything this just proves damson idris can & should lead more.",346 likes
Benjigotfried,★★★★½,23 Jun 2025,"BRAD PITT & JOSEPH KOSINSKI JUST MADE ONE OF THE MOST THRILLING SPORTS MOVIES I HAVE EVER SEEN!!!!!

Coming off of the legendary success of Top Gun: Maverick back in 2022 with Tom Cruise Joseph Kosinski is back at it again with another movie! Coming into 2025 this was one of my most anticipated movies of the year and I can happily say this exceeded my expectations in every single way! This movie is truly spectacular! The racing scenes are god… more",345 likes
JBird,★★★★,25 Jun 2025,"Brad has a photo of him and his pop,
And he used to be cream of the crop.
He's driving to win,
So when he pulls in,
Well, that's why it's called a Pitt stop.",346 likes
Michael James,★★★★,30 Jun 2025,"‘Do they have the car? … We have the driver’
‘What’s happening?… He’s flying’
Damn, damn, damn… here goes your Top Gun Maverick ft Formula1 racing .. now that’s what you call as CINEMA ON STEROIDS. Truly a turbo charged cinematic experience. Joseph Kosinski delivers another viscerally breathtaking- adrenaline rushing- thrillingly immersive drama, this time around bringing his attention to detail finesse n precision onto the race track, showcasing the passion and spirit of racing. It’s one highly recommended IMAX watch, purely for the… more",344 likes
Damo,★★★★★,04 Jul 2025,"“Can you introduce me to Carlos Sainz?”
With every summer blockbuster that I enjoy I have to run it back… so I did. Fucking love this film man. While it doesn’t accurately portray F1 (which a lot of ppl seem to be upset about… it’s a fucking movie lmaoo) it does show how intense and thrilling the sport is. Can’t emphasize this enough… IMAX is the move man!! Such a surreal experience that everyone should experience at least once. If you haven’t seen F1 go and watch it! 💯
Onto Jurassic World Rebirth… 😐
2025 Ranked",228 likes
Ryan Barton🤠🍿,★★★★½,26 Jun 2025,"Wow! An absolutely drama packed epic weighing in at 2.5hrs long but it doesn’t feel like that at all. 
The camerawork was phenomenal , really capturing what it feels like to be in the seat as well as seeing how fast these cars can go. 
I know some scenes were a little unrealistic & dramatised but this is what we want in a movie like this, the more drama the better. They really went all out and I’m so happy they… more",340 likes
zippy ✮,★★★★½,28 Jun 2025,i was so excited for this movie even though i know absolutely nothing about F1 i was still excited and the result is definitely worth it. the music the cinematography the acting the everything. ngl this movie made me kinda wanna watch every F1 races right now,336 likes
razvanfilms,★★★★,27 Jun 2025,"Tyler Durden + Franklin Saint + Anton Chigurh = Absolute cinema
F1 is a really well directed film. Phenomenally crafted from start to finish, the cinematography is absolutely breathtaking and the racing scenes feel more than authentic — they feel real. That’s what, in my opinion, makes this film truly one of a kind. Joseph Kosinski and cinematographer Claudio Miranda have done an exceptional job in bringing this world to life.
The story is compelling and well-developed, with a pacing… more",328 likes
ilsu,★★★★,05 Jul 2025,"""I'm offering you an open seat in Formula One, the only place you could say if you win, you are the absolute best in the world.""
Joseph Kosinski knows exactly what he's doing. If he thought, ""If I cast Brad Pitt and Javier Bardem at their hottest and dilfest era, in this movie, I can attract the attention of even those not interested in F1,"" he's ABSOLUTELY right. They claimed the air conditioning in the theater was broken, but no,… more",207 likes
Ana V,★★★★★,17 Jun 2025,"“If getting to drive that car is the last thing I do, I will take that life man.”
F1 THE MOVIE is a monumental achievement no matter how you look at it. Not only does it perfectly capture the speed, adrenaline, and excitement of Formula 1, but it also gives us a fantastic story of personal achievement, the building of a championship-winning team, and the almost religious experience of triumphing in such a ruthless sport.
I must admit that Brad… more",324 likes
Benjigotfried,★★★★½,24 Jun 2025,"Round 2 and this movie rocks! Brad Pitt & Joseph Kosinski truly made something special with this!!! Kerry, Condon, Danson,Idris, and Javier Bardem are all truly such a delight!! This is without a doubt, the coolest sports movie I’ve ever seen in my entire life! Re-watching the racing scenes in IMAX once again was truly remarkable!! If any of you can please make time to try and watch this movie!!
IN THEATERS EVERYWHERE IN IMAX ON JUNE 27th!!!!
My friend’s rankings… more",325 likes
coffee,★★★,26 Jun 2025,"that this movie is good (especially those last twenty minutes) is completely despite the fact that every five minutes for the first two hours is a needle drop of the worst, most overproduced pop song ever made. making me listen to Tate McRae should without question be illegal under any circumstance",324 likes
MrPPeeps,★★★★★,07 Jul 2025,"Hell Yeah! I eat this up!!!!! Cheesy, melodramatic and freaking awesome!!! Perfectly cast across the board, ridiculously well-crafted with a truly incredible Zimmer score and those races scenes in IMAX to quote Mr. Sonny Hayes was like flying. I felt everything!!
A magical experience. I had full body chills, dangling on the edge of my cinema seat full of adrenaline and I just loved every second of it! Which I knew I would the second I heard Led Zeppelin in… more",211 likes
peskypaul,★★★★,03 Jul 2025,"❤️‍🔥84%
🔙Sinners🔙 
🔜Squid Game S3🔜 
Since I watched the Dolby Atmos version of the film thought why not check it out in IMAX considering that’s where the hype’s been. I’ve got be honestly yes it’s a more immersive experience visually but definitely didn’t feel the rumble in my core like the Dolby showing did. 
For that fact alone it will stay a high 4* and no higher. I also just think this movie won’t hit the same at home, this… more",208 likes
Barmilliv,★★★½,09 Jul 2025,,213 likes
Benjigotfried,★★★★½,03 Jul 2025,"This movie is absolutely spectacular! This is hands down one of the best of 2025 so far!!! Brad Pitt, Damson Idris, Kerry Condon, and Javier Bardem are top-tier!!! Joseph Kosinski deserves all the flowers!! F1 Sequel bring it on!!
F1 The Movie Full Review!
Joseph Kosinski Ranked
Sports Movies Ranked
2025 Ranked 
2020s Ranked
The 2025 Benji Gotfried Awards ",209 likes
selcen,★★★★,05 Jul 2025,"What do you care what they say? It's just noise.
It might be predictable, the story and characters familiar, but I haven't seen a movie that made me jump out of my seat in long time. My pulse raced, nearly screamed, my adrenaline rushing! It was exactly what I'd been waiting for. Felt like I was the one hurtling down that track at miles. Filled with excitement and the desire to win. I was flying, even felt the wind. That's… more",200 likes
Raiders of the Lost Podcast,★★★★½,04 Jul 2025,2nd row. IMAX. I was in the car,207 likes
Zach Pope,★★★★½,21 Jun 2025,"EVERYTHING you want from a summer blockbuster. Impactful, Inspiring, & Intense. Truly one of the best movies of the year that will keep you on edge cheering & possibly have your jaw on the floor with what Kosinski does as a director",307 likes
Dale Ranger,★★★★,06 Mar 2025,"Sonny: “What the hell are you smiling for? You haven’t won a race yet.”
Joseph Kosinski brings his A game once again. You can see elements of Top Gun Maverick here with this fast paced adrenaline action film about a racing team in Formula 1. 
But it’s the strategy that I really loved about this film. (It kinda reminded me of Moneyball in that way) 
Sonny (Brad Pitt) is a racing driver who is a bit washed up. He has… more",298 likes
Zach,★★★★½,25 Jun 2025,I gotta get myself a deck of playing cards,304 likes
𝑨𝒅𝒆𝒍,★★★,26 Jun 2025,"""Rush"" is still the best F1 movie ever made.
2025 Ranked",301 likes
Jake Petroski,★★★★,25 Jun 2025,"One of my most anticipated movies of the year, and it did not disappoint. While it is lacking a bit in the story, the technical filmmaking on display here makes up for it completely. I wanted to see some breathtaking races and impressive camera work and that is exactly what l got. The races are seriously jaw-dropping. Makes you feel like you are in the car with how immersive it is. The sound design will have you shaking, and Hans… more",298 likes
Regelegorila,★★★,23 Jun 2025,Vroom Vroom (cliquez ici pour la critique).,298 likes
shookone,★★½,07 Jul 2025,"l'art pour l'adrenaline
1.) there's nothing here except what cinephiles will call ""pure cinema!"", jerking off to their exclamation mark ""pour cinema!""
2.) big up to Kosinski, Mirrione, Miranda & Zimmer for bringing home this baby as technocratic masterclass. this runs seamlessly smooth like engine oil.
3.) besides a couple of hilarious moments (Pitt's mullet flashbacks, ""combat! combat! combat!"") you won't find much that stays with you behind outside of the high & mighty race track adventures.
4.) the ideological baggage coming… more",198 likes
Gilby C. III,★★★★,09 Jul 2025,"“You have a deficient frontal cortex.”
This film is a quintessential ‘must watch in theaters' experience to truly grasp its brilliance. While the storyline isn't the most intricate and the dialogue may leave something to be desired, it's arguably the most enjoyable time I've had this year in a theater. I could feel every rev, motion, rumble and action resonate through my seat. You don’t have to be a fan of Formula 1 to enjoy this film. The cinematography is… more",197 likes
gregs1999,★★★,30 Jun 2025,,293 likes
gusta,★★★★★,12 Jul 2025,"— [...] será que eles tem carro pra isso?
— nós temos o piloto.
eu vim ver esse pela tate, e me surpreendi TOTALMENTE mds , um dos melhores filmes que eu ja vi, e com toda certeza um dos melhores DO ANO. um filme totalmente perfeito, em especificações técnicas como a montagem, trilha , cinematografia e etc, mas como também entregou um roteiro, uma história e diálogos perfeitos.
foi um filme que me prendeu a atenção do começo ao fim,… more",195 likes
cob,★★★★½,25 Jun 2025,holy moly.,292 likes
ayan,★★★★½,27 Jun 2025,real ones know that a double feature with cars 3 gonna go way too hard,288 likes
robzyz,★★★★,01 Jul 2025,"as a F1 nerd, I could write a dissertation on how wildly inaccurate half the stuff in this movie is. but you know what? I had an absolute blast!!
the racing sequences are exhilarating, the IMAX experience slapped, and for a couple of hours, I stopped thinking and just enjoyed the ride.
it’s nonsense, but it’s the kind of nonsense I’ll happily watch again!",193 likes
dhanine,★★★★½,25 Jun 2025,"it's cliché but i'll always love a one last job story, or a hans zimmer",284 likes
˗ˏˋ suspirliam ˊˎ˗,★★★★,20 Jul 2025,a great time at the movies!!!! pretty predictable but how can you not lock all the way in when hans zimmer is working his magic and kerry condon and damson idris are absolutely dominating the big screen like that,191 likes
Sahil Memon,★★★★★,25 Jun 2025,how to be like brad pitt? 🏎️🪽,271 likes
moviemattk ✌🏻,★★★,27 Jun 2025,"We have another dad movie hit on our hands! 
Brad Pitt plays the hot, too cool for school, two time divorcee who shows up to win and complains about participation trophies. He dates women 20 years younger than him and proves to his snowflake coworkers it’s not all about the social media engagement. He doesn’t play by the rules and he’s a bit of a cowboy, but ultimately has his heart in the right place. 
Dads everywhere see part of… more",278 likes
júlia,★★★★,29 Jun 2025,great incentive for me to go jogging on the street,278 likes
