user_name,rating_star,date,comment,comment_likes
Jake,★★★★,12 Jul 2025,"Not a perfect movie, sure. But it is unbelievably refreshing to watch a movie clearly driven by someone's artistic voice. Its flaws are the flaws of James Gunn, not a billion studio notes. My favorite James Gunn movie, and my favorite cbm since Infinity War.
Our review: 
youtu.be/WRlVHMwL5Xs","3,682 likes"
jonathan fujii,★★★,08 Jul 2025,"Lex Luthor be me fr
Screaming video game fight combinations into a microphone","3,425 likes"
Robert Daniels,★★,08 Jul 2025,"James Gunn is such an emotionally cheap director. Nothing feels earned in the latest “Superman.” Gunn once again uses animals to add low-hanging quirky beats. Lois and Clark have very little scenes together to kindle a romance in what’s a supremely ugly looking film. Also, why are the Kents rendered as bumpkins and why did we get so little of Wendell Pierce? A movie can’t be everything but it feels like Gunn is so intent on this Superman being representative… more","3,030 likes"
davidehrlich,★★½,08 Jul 2025,"For a movie that’s meant to represent the birth of a brand-new cinematic universe (the DCU), James Gunn’s slight and slaphappy take on “Superman” doesn’t feel much like the start of anything.
In part, that’s because this goofy twist on the Man of Steel has the good sense to eschew an origin story. Rather than retell how the last son of Krypton was evacuated from another galaxy as a newborn and raised by a pair of kindly farmers in Kansas,… more","2,995 likes"
trin,★★★★★,17 Jul 2025,a superhero movie inspiring me to be a good person and do good deeds and finding the beauty in being human i’m gonna cry,"3,165 likes"
Bara Prima,★★★★½,08 Jul 2025,"ngl the REAL villain and lowkey most powerful creatures here are those MonkeyBot buzzers 😭
Thank you James Gunn for giving us a Man of Steel who isn’t allergic to warmth.","2,769 likes"
Sydney🚀,★★½,07 Jul 2025,"The version of this that is not a jumbled mess of three too many Big Ideas and characters/scenes that get zero room to breathe in a movie going a mile a minute is probably super good. I see the saturday morning cartoon thing (super cute kaiju) but unfortunately movies don’t work like that, I wish Gunn found a better way to reconcile his loftier narrative ambitions with that comic book zaniness. I felt zero emotional catharsis and thought maybe two scenes were actively great, it also looks like shit but none of that matters in the face of HOW COOL MR TERRIFIC IS","2,726 likes"
Joel,★★★★½,08 Jul 2025,"Marvel losing James Gunn to DC will go down as one of the biggest fumbles of all time. He just gets it man. 
This is what Superman should be. It’s bright, colorful, funny, and full of heart. Every character has such a distinct personality and look that feels ripped straight out of a comic. 
The score of course is great. John Murphy + the classic John Williams theme = peak. And Gunn really holds back on using pop music for… more","2,737 likes"
júlia,★★★★,08 Jul 2025,he's bald! he's bald and he's torturing people who have hair!!,"2,466 likes"
jer ☘️,★★★★½,09 Jul 2025,Worst part of this movie was walking out of the theater and realizing that i will never be kissed by david corenswet while we are flying together 😪,"2,343 likes"
alexgiu,★★★★★,09 Jul 2025,Superman violated the Sokovia Accords before the movie even started.,"2,311 likes"
Joe,★★★★★,08 Jul 2025,My god this is the perfect start to a cinematic universe,"2,182 likes"
Framesofnick,★★★½,10 Jul 2025,"I looked up…and I looked down.
Superman is a MESSY movie but it’s also exactly what we need right now. It’s refreshing and exuberant but woefully simple and heavy handed at the same time. The moments of looking through the clouds to see true hope are astonishingly moving, but the quieter on the ground moments are anything less than super.
But with all its many issues this is what I want to see more of. I crave the extreme attempts… more","2,057 likes"
lucia🎞,★★★★,03 Jul 2025,imagine having nicholas hoult as your archnemesis and not having a homoerotic affair with him. if you were doing it right the only thing arching would be his back,"2,074 likes"
Austin Macfarlane,★★★½,08 Jul 2025,You'll believe a man can be nice,"2,035 likes"
Sethsreviews,★★★,08 Jul 2025,"a return to the optimism of Superman's drive for humankind. Sometimes charming to a fault. Although I'm not entirely sure how much their major moments were earned, I thought both Corenswet and Brosnahan were great. Many of the scenes, especially those concerning Fillion & Gathegi, make the most of Gunn's typical farcical humour. I’m completely with its goal to depict Superman's vulnerability within this whimsical realm as it aligns with my perception of his mythos completely: but, the visual execution is… more","1,905 likes"
brian,★★★★½,07 Jul 2025,"there is so much movie here and my mind is racing with thoughts but holy lord, he did it.
it’s a little rough around the edges but the heart, oh man. a movie with so much to say and i see it’s already got foxnews shaking in its virtual shorts. im so impressed with gunn genuinely, i didnt really have any doubts but i also didnt think he was like that. i think the way they tackle the worldbuilding in… more","1,883 likes"
ram<3,★★★★★,09 Jul 2025,henry cavill found dead in a ditch,"1,778 likes"
Amanda the Jedi,★★★½,10 Jul 2025,"A bit messy, pretty stuffed, but damn it feels like the Superman I've wanted for years","1,692 likes"
hunter strawberry,★★★,10 Jul 2025,"krypto’s everything, he's just ken(t)","1,671 likes"
JoshuaPictures,★★★★,10 Jul 2025,"Wow, not gonna lie, this movie was pretty super............................................................................................................................................................................................................................................................................................................................................man.","1,671 likes"
CinemaJoe,★★★½,13 Jul 2025,"Maybe there’s hope after all
YT: Review","1,533 likes"
𝐉,★★★★,09 Jul 2025,Superman struggling with social media is a plotline from The Tick.,"1,513 likes"
Griffin Schiller,★★★★½,07 Jul 2025,"While it took a minute for me to get on its wavelength, there's no denying that James Gunn's Superman will define the icon for a new generation. A proudly punk rock rebuttal of the cultural shift towards cynicism & dehumanization that's incredibly on the pulse, raging with authenticity & sincerity. It lovingly captures the very soul of Big Blue filtered through the singular lens of James Gunn. For better or worse (mostly better), this is one of the most handcrafted and authored… more","1,395 likes"
Lucy,★★★½,14 Jul 2025,i like that he is nice and flies fast and has a silly dog. kinda feels like a ray of sunshine in these trying times i'm not gonna lie,"1,419 likes"
Tyler Whitmore,★★★★,08 Jul 2025,"Superman is undoubtedly quite messy but at the same time is so earnest, bold, and such a breath of fresh air that I had a smile across my face for the majority of the runtime and have complete confidence and faith in the future of this iteration of the DC Universe. 
James Gunn kicks off his DCU in a valiant, ambitious (often too ambitious) film that trades the bleak and grim for the hopeful and optimistic. Abundantly whimsical and corny… more","1,302 likes"
Karsten,★★,10 Jul 2025,🤮,"1,322 likes"
Vitka,★★★★★,09 Jul 2025,"ILY, JAMES GUNN & DAVID CORENSWET. Left the theater crying. Can't believe I walked in with high expectations & still wasn't disappointed. I've been waiting for this since the day it was announced, counting down the days like a kid. & now that I've seen it, I'm that kid again. So, so happy.
I've seen a lot of people complaining that James made Superman weak, but that's exactly the balance that's always been there. He's not a god, he's not perfect & he never… more","1,283 likes"
George Carmi,★★★,10 Jul 2025,i get it. i get the vision and i get james gunns cartoonish approach. a few extra mg’s helped the experience and i came around to it a bit more on rewatch but this is still a mess on all fronts held together by some classic superman nostalgic charm. a few scenes i absolutely adore (the interview being the absolute standout) swallowed by a narrative moving too fast for its own good in a world barely built to support such a character.,"1,210 likes"
coffee,★★★½,08 Jul 2025,"uneven and kind of stupid and pretty poorly paced but so gloriously goofy and sincere and romantic that i think it kinda rocks on the whole. emulates the experience of picking up a comic from the middle of a run without any context better than any of these, complete with big splash panels and silly monologues about being human (delivered with such beautiful aplomb from the incredible cast). handily the best superhero thing since the last time Gunn did a superhero thing. cannot believe so much of this movie is a thinly veiled metaphor for Israel committing genocide","1,177 likes"
Joel Haver,★½,23 Jul 2025,"The comparisons I’ve seen to Raimi’s Spider-Man trilogy are truly baffling. Go back and watch any of those movies and you’ll see craft and consideration, both from a technical and storytelling standpoint, so far beyond anything on display here. From start to finish, the filmmaking in Superman feels clueless. Dim, ugly lighting indoors, no rhyme or reason which scene is shot in a big swooping steadicam shot and which is shot in spastic cuts between 15 different angles (sometimes both!), CGI… more",867 likes
Killian Morlaes,★★★★★,08 Jul 2025,"The cast, the visuals, Krypto, the special effects, Krypto, the action, Krypto, the emotion, Krypto, the score, Krypto… An absolute masterpiece.
2025 Ranking","1,109 likes"
elio983,★★★★★,08 Jul 2025,Starting a war to get ur crush’s attention crazy bruh #toxicyaoi,"1,200 likes"
alexcolemann,★★★★★,12 Jul 2025,"I'm aware envy consumes my every waking moment. I KNOW when they mention Galileo, or Einstein, or one of these other twits in the same breath as me, l feel a tight vomit burn in the back of my throat! But at least Galileo did something. He wasn't some dopey illusion, catapulted onto this planet, just to have the world fawn over him because his strength illuminates how WEAK we all really are! MY ENVY IS A CALLING. IT IS… more","1,108 likes"
joj66,★★★★★,09 Jul 2025,This just rekindled my sense of whimsy,"1,105 likes"
Harry Argyle,★★★★,08 Jul 2025,I mean this with wholehearted kindness and compassion. I would gladly sacrifice every single one of you for that dog.,"1,020 likes"
hugeasmammoth,★★★★,08 Jul 2025,"Ryan Murphy’s greatest contribution to cinema was casting David Corenswet as a bisexual man who kills himself in front of Ben Platt, and as a hunky guy who wrecks Patti Lupone’s pussy, which all led to him playing Superman and for that I’m eternally grateful.",965 likes
Straw_Hat_Goofy,★★★★½,09 Jul 2025,"For all the flaws the movie does have, I remember when someone told me that all that matters when you watch a movie, is how it makes you feel. And Superman not only makes me feel like a man can fly, it makes me feel like I can fly after watching it.",963 likes
kenny,★★★★★,11 Jul 2025,"omg that’s my Superman. He's a southern belle, saves squirrels and is SO punk rock 
wait am I Superman?!",990 likes
Miguel Araiza,★★★★,11 Jul 2025,,907 likes
Mia K.,★★★★★,16 Jul 2025,Third time and it’s 5 stars now,895 likes
ziwe,★★★★★,25 Jul 2025,Free Jarhanpur,758 likes
H. Coley,★★★★,10 Jul 2025,"""That's the real punk-rock.""
Criminally overstuffed, frequently ugly as hell, and truly wonderful all the way through. I giggled and gasped and marveled, and I sobbed three times. Just as I’d hoped, Gunn’s take is a little busy but he nails the heart and soul of the character in a way that anchors it all. Most of the best sequences are people talking, people arguing, and people feeling. The whole theater was buzzing afterwards. I guess “the movie we need… more",874 likes
chloé†🍸,★★★★½,08 Jul 2025,"i don't know about yall but i was that girl who was always watching smallville after school and thought clark kent/superman was one of the absolute best superheroes ever. Now i just saw the movie at the avant premiere with my husband and honestly, it only reminded me why i've always loved this character so much. It was absolutely brilliant!!",857 likes
Raiders of the Lost Podcast,★★★½,08 Jul 2025,"Superman is light, fun, silly, heartfelt and filled with hope. DC is off to a solid start",849 likes
Angelica Jade Bastién🪼🌷,★★,07 Jul 2025,"Sometimes as a critic I just don’t think it’s worth writing in-depth (or at all) about movies that just didn’t work for me. I wanted to like this. I’ve been reading DC Comics since I was a kiddo. But I didn’t vibe with this for a number of reasons (visual ugliness, humor that didn’t delight, threadbare yet eyebrow raising characterization, lacking a philosophy behind the goodness the hero espouses).
I don’t ask for much from blockbusters. I just want dazzling… more",851 likes
Atasha,★★★★★,08 Jul 2025,this is definitely the lex luthor that baby traps clark,857 likes
David Chen,★★★★,08 Jul 2025,"The biggest accomplishment of Gunn’s Superman is that it restores the heart and humanity to one of our most beloved and iconic superheroes. Henry Cavill did an amazing job capturing the physicality of Superman but I don’t think Zack Snyder understood the assignment. Superman is supposed to be fun, aspirational, and awe-inspiring, not mired in the brooding self-seriousness that were so pervasive in Snyder’s take on the DC Universe. David Corenswet’s version of Superman is relatable, flawed, sweet, and funny.… more",834 likes
Benji,★★★,07 Jul 2025,Guess the S stands for Free Palestine ✊,847 likes
Benjigotfried,★★★★½,07 Jul 2025,"DC’S FUTURE IS IN GREAT HANDS WITH JAMES GUNN & PETER SAFRAN!!!!!

Coming off of James Gunn joining DC as co-CEO alongside Peter Safran back in 2022, including James Gunn’s legendary conclusion with the Marvel Cinematic Universe which was Guardians of the Galaxy Vol. 3 back in 2023 he has finally made his first movie with DC. This movie has a lot of pressure on the line and I can happily say this definitely lived up to the hype!! Coming into… more",807 likes
Jeff Zhang,★★★★,10 Jul 2025,"Scattered and barely beating back its “why does it look like that” syndrome, but Superman is so buoyed by infectious momentum and James Gunn’s palpable affection for the source material that I ultimately had a great time. It’s easy to be cynical of a new DCU when its first entry is so eager to jam in a corpo Justice League, Metamorpho, and Angie Spica into a solo Superman film, but against all odds Gunn dodges the mandated “look, it’s that… more",812 likes
Kevflix And Chill,★★★★,07 Jul 2025,"Very much in keeping with Gunn’s other superhero features—Guardians of the Galax(ies), The Suicide Squad, etc,—though perhaps lacking slightly by comparison when it comes to the strong emotional anchor. The film has a propulsive energy, never drags, and has a fun sense of humor and does admirably well at balancing broad range of characters. There’s some silly plot elements, to be sure—one character that is apparently controlled like a video game, as an example, really didn’t work—but most such things… more",797 likes
mac,★★★★½,11 Jul 2025,superman is back,799 likes
SuperBardiBros,★★★★,11 Jul 2025,"Yes to the sparks between David Corenswet and Rachel Brosnahan. I need more of these two as just Lois & Clark, their chemistry in the interview that turns into a typical couples argument is the film's most thrilling fight.
Yes to Nicholas Hoult, my favorite war boy, channeling his envy from missing out on the Batman and Superman auditions into a gloriously demented Lex Luthor.
Yes to James Gunn and Corenswet flipping the script after Snyder’s biblical take on the character,… more",739 likes
Matt!,★★★★,10 Jul 2025,"Wasn’t sure how I felt after the first half here, what with the heavily present and way too topical foreign conflict plotline, plus the somewhat muddled immigration message, but James Gunn did what James Gunn does time and again—gave us an impassioned, fun, uplifting, deeply genuine comic book in the form of a perfectly casted & convincingly lived-in film with fan service to spare. Not sure it’ll really ever make my regular rewatch list, but I am fully ready to nosedive… more",718 likes
cerys,★★★★½,19 Jul 2025,"Oh, we are so back!
So so so much fun, I adored this film! This has one of the best screenplays of the year so far, and we need to be having that conversation. It's genuinely hilarious at times, never taking itself too seriously, and it was clearly written by somebody who knows that we don't need another Superman origin story; the general public, particularly audiences interested in this film, will already have enough prior knowledge of the character to… more",723 likes
Cam Walsh,★★★★½,08 Jul 2025,"If not for the joy Superman brought me during this movie I would be envious of how Lex Luther was hating during this thing. Would have needed to model my hating game after his. But alas, I come out believing in the possibilities of tomorrow. 
Superman is silly. It’s not going to be for everyone and I get that. But it’s something for me. It’s something that brought me a lot of joy and made me really happy to be… more",672 likes
alexcolemann,★★★★★,10 Jul 2025,"Every scene with Krypto warrants an applause. Reminded me of my dog (she never listened to me but loved me dearly). Now that they’ve given Superman his dog, it’s time we give Batman his Robin(s).",676 likes
Mia K.,★★★★½,16 Jul 2025,"I’m second rewatch, it’s a 4.5",661 likes
Victor Bonnefoy,★★★★½,09 Jul 2025,Love is the new punk.,644 likes
Brett Arnold,★★,26 Jun 2025,"James Gunn's Superman, which damn near singlehandedly carries the weight of the future of DC movies on its broad shoulders, has to be the most disappointing movie of the year so far. It falls almost entirely flat, relying on the audience's pre-existing relationship with the characters rather than using any of the film's runtime to set up this world or build any sort of emotional connection to these people. Gunn certainly has a take on the character, but he never… more",612 likes
Josh Lewis,★★★,18 Jul 2025,,607 likes
Filipe Furtado,★★½,21 Jul 2025,"This sort of is the ideal Superman movie for my old comic book fan self, I just wish it was well made, and for the most part it isn't.
It is so overstuffed, and to try to cover as much plot and characters as it does in two hours, it keeps rushing ahead in a frenetic pace that the movie never puts to good use. The main problem is that every plot point leads back to Luthor, but Gunn never… more",453 likes
MarMar,★★★½,07 Jul 2025,Oh brother this was certainly a James Gunn film. All of his best and worst tendencies are here. The Guardians style of humor does not work. But he does get Superman right and I guess that's the only thing that matters...,590 likes
Vitka,★★★★★,24 Jul 2025,"""My point is, I question everything and everyone. You trust everyone and think everyone you've ever met is, like... beautiful.""
""Maybe that's the real punk rock.""
Been thinking about this a lot. We live in a world where being distrustful, indifferent, selfish & unempathetic has become the norm, even in situations where the opposite should be expected. Many seem to believe that what makes you cool is not feeling anything, but feeling is the healthiest thing you can do.
It's strange… more",457 likes
Alan Sepinwall,★★★★,11 Jul 2025,"I've got a couple of minor quibbles. I wish there was more of Corenswet as Clark Kent — at least, as the nerdier Clark he cosplays as at work — and some of the action sequences descended too much into the kind of CGI sludge we get too often in these kinds of films.
But my goodness, does James Gunn understand this character like no filmmaker has since Richard Donner. Superman gets his ass kicked multiple times in this film. He is… more",589 likes
Jaclyn S.,★★★★,07 Jul 2025,I watched this from the third row so I really did have to #LookUp,583 likes
LadyJenevia,★½,07 Jul 2025,"Vapid franchise instalment that cosplays as a political movie without developing its points in an interesting way. It also treats the majority of women who aren’t Lois Lane as dumb / objects / all of the above.
Repeatedly neuters its dramatic tension with jarring “humorous” interruptions.
Anthony Carrigan is the only performance with a fully realised compelling dramatic weight, and he’s a small character with maybe 10-15 minutes of screen time at most.
Adopt, don’t shop!
Watch my review here:
www.youtube.com/@LadyJenevia",579 likes
Sammy,★★★★,09 Jul 2025,"It’s been almost 50 years since Margot Kidder’s Lois Lane said the iconic line “You’ve got me? Who’s got you?” to Christopher Reeve’s Superman. We finally have our answer all these years later and it’s JAMES FRANCIS GUNN JR. That man don’t miss!
This is everything I imagined a SUPERMAN film to be as a young dumb kid wearing his blanket as a cape and telling tales of saving every and anyone I could with a smile on my face. Oh… more",573 likes
Matt Neglia,★★★★,26 Jun 2025,"SUPERMAN is just as fun, vibrant & idiosyncratic as James Gunn’s “The Suicide Squad” and “Guardians of the Galaxy” films, yet it still captures the empowering, hopeful spirit of the comics. His distinctive style & offbeat humor, along with the crowded cast of characters, and narrative bloat may not be for everyone, but Gunn was never going to please everyone, no matter what he did. For me, it mostly works, especially because Gunn shows such a deep understanding of what Superman should… more",850 likes
Matthew Kelly,★★★★,11 Jul 2025,,563 likes
Will Menaker,★★★,23 Jul 2025,"Pretty fun! I mostly enjoyed this. I understand the hardest part of a Superman movie is making him vulnerable in some way so it feels like there are stakes and not just playing the game on easy mode, but it was a little funny to me just how many times Superman got his ass kicked in this one. His poorly behaved dog got all the cool triumphant hero moments! Goku would not have gone out like that, I can tell… more",445 likes
fran hoepfner,★★½,22 Jul 2025,,430 likes
"Rafael ""Mister Movie"" Jovine",★★★★,13 Jul 2025,"RESEÑA EN ESPAÑOL
Before I start, I know everyone is raving about Krypto and he’s cool and a kickass…
…but you know who’s more of a badass?...
…El Gato Volador…
…Oh y’all think I am making that up? Oh no, he’s real. He even has an awesome, classic theme song
But back to the movie, man, you know, I know many people said this was like a comic book brought to life. And you know, I’ve read a few from… more",552 likes
maddie,★★★★½,08 Jul 2025,WE'RE SO BACK BITCHES,552 likes
Damo,★★★★½,10 Jul 2025,"Appreciate you James Gunn… Never been the biggest Superman fan but man this movie in IMAX was fucking epic. Do people really want Henry Cavill back as Superman?? Or are those just Zach Snyder’s minions? Anyways this movie was fucking amazing and deserves to be seen on the biggest screen! 💯
2025 Ranked ",548 likes
Vitka,★★★★★,17 Jul 2025,"""I'm as human as anyone. I love, I get scared. I wake up every morning and despite not knowing what to do, I put one foot in front of the other and I try to make the best choices I can. I screw up all the time, but that is being human. And that's my greatest strength."" –Superman
""I'm aware that envy consumes my every waking moment. I know when they mention Galileo or Einstein or one of these other…
more",547 likes
Cartoonshi,★★★★,13 Jul 2025,"CAUSE I’M A PUNKROCKER YES I AM
CAUSE I’M A PUNKROCKER YES I AM
CAUSE I’M A PUNKROCKER YES I AM",555 likes
Vitka,★★★★★,13 Jul 2025,"YIPPIE. I'm not the type to rewatch films in theaters, but this one absolutely deserves it. Second time around & it's still so special, I'd go a third time without thinking twice! Rewatches always reveal little things you missed, & that feeling of knowing what's coming but still being surprised is simply incredible.
Nicholas as Luthor gave an insane performance, omg. It's like James pulled Luthor straight out of the comic pages & shaped him specifically for Nicholas, bc he's a PERFECT match,… more",536 likes
Austin Burke,★★★★,08 Jul 2025,"A Bold Beginning 
2025 list - Click HERE
My Full review - Click HERE
Superman evokes a few distinct feelings that few comic book movies have been able to capture as of late. An unmistakable sincerity shines through, with Corenswet radiating hope and buoyancy. The film feels like a vibrant throwback tonally, which doesn’t always work in its favor, yet its knack for striking emotional chords at the right moment is impressive. It eventually becomes overcrowded with ideas, but the episodic nature… more",522 likes
˗ˏˋ suspirliam ˊˎ˗,★★★★,12 Jul 2025,fun fun fuuuun!!!! james gunn is pretty good at the whole making superhero movies thing to be fair,534 likes
Regelegorila,★★★½,09 Jul 2025,"Je l'ai revu et oui, Superman vole haut (cliquez ici pour la nouvelle critique).",538 likes
Ana V,★★★,08 Jul 2025,"“Play the footage from his parents, he finds it soothing.”
James Gunn's Superman is fine, but if its director had the ability to moderate his approach and not resort to maximalism in every single aspect, it could have been great.
David Corenswet does an excellent job as the world's most famous superhero, with Rachel Brosnahan as his perfect Lois Lane and Nicholas Hoult as a Lex Luthor who truly feels like a terrifying villain.
However, at times it seems like… more",524 likes
Ali Arikan,★★★,08 Jul 2025,"1. I like the vibe James Gunn is chasing here, a blend of late Silver Age optimism and mid-Bronze Age grit, with clear nods to John Byrne’s Man of Steel and the Jurgens/Breeding run. That’s my favourite take on the character. The film hits the ground running. Superpowered beings are everywhere, but Superman stands above them, not because he’s the strongest, but because he’s the clearest.
2. David Corenswet is terrific. He brings poise without parody, and his chemistry with… more",522 likes
Reese,★★★★★,08 Jul 2025,"Wow. Just… wow. James Gunn didn’t just make a Superman movie—he brought a living comic book to the screen in the best way possible. From start to finish, this film oozes everything I love about the Superman mythos. The color grading alone—bright, bold, and full of life—feels like flipping through the pages of a classic comic. It’s hopeful, optimistic, and visually vibrant in a way we honestly haven’t seen in a long time. This movie made me feel like I… more",524 likes
Louis Peitzman,★★★★½,10 Jul 2025,"Finally, a movie that makes use of Skyler Gisondo's inexplicable sexual charisma.
I loved this so much. A fun thing about me is that I don't think I fuck with Superman except that every time I see a Superman movie I discover I might be a closet Superman guy. This one is so sincere and so silly. David Corenswet is almost too handsome to look at. As an adopted person, I will always get weepy at every Ma and Pa… more",531 likes
𝐉,★★★★½,11 Jul 2025,Lex Luther officially hates superman more than Snyder bros now,531 likes
Preet,★★★★,11 Jul 2025,jimmy olsen is actually the one with the secret harem.,535 likes
carley :),★★★★,20 Jul 2025,i've never ever cared about a superhero movie in my life. i cannot explain to you how little i care about superheroes. idk man you turn into rocks and blow fire?? cool i guess. i went on a date when i was 15 to see one of the avengers and fell asleep in the theatre. it is just not someting that interests me in the slightest but i was on the edge of my damn seat the entire movie and genuinely think this is a great blockbuster! so there's that!,535 likes
Megan Bitchell,★★★★,15 Jul 2025,"Wow…. so it’s cute and cool for Superman to have a poorly behaved dog, but my unleashed pit bull terrier isn’t allowed back at my ex boyfriend’s house because she ate his roommate’s girlfriend’s pet cockatoo because his roommate left the door open and my dog got into the cage??? And then they got mad at me for changing the dog’s name from Athena to Birdie???
Vegan 🌱 warning: Woke dog",518 likes
Marco Risch,★★★★,08 Jul 2025,"Wir schreiben das Jahr 2013: Barack Obama wird zum 2. Mal als Präsident der Vereinigten Staaten vereidigt. Papst Benedikt XVI. tritt zurück. Sir Alex Ferguson beendet nach geschlagenen 26 Jahren am Stück seine Alleinherrschaft bei Manchester United. Und ein gewisser Zack Snyder will wiederauferstandene Zombies sowie 300 Spartaner hinter sich lassen, um das DC-Universum umzukrempeln und diesen versammelten Avengers von Marvel die Stirn zu bieten.
Ich schlage mich als Freelancer im Videobereich durch und darf mal wieder für diesen hippen… more",491 likes
ram<3,★★★★★,09 Jul 2025,OH MY FUCKING GOD,497 likes
ash vs. films 🪓,★★★½,27 Jul 2025,the “S” on superman’s suit means: Snyder never understood the character,307 likes
dumbsville,★★★★,11 Jul 2025,I didn’t think ripping off Metal Gear Rising: Revengeance would work for a Superman movie but goddamn the Gunn really was fully loaded.,487 likes
